Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad;Swedish;Italian;Romanian;Bulgarian;Macedonian;Finnish;Danish;Norwegian;Icelandic;Lithuanian;Hungarian;Slovak;Portuguese_European;Hindi;Thai;Croatian;Georgian;Greek;Serbian;Latvian;Abenaki
exsl_slot_equipment_helmet_label;Head;Голова;Kopf;Cabeza;Hlava;Hoofd;Tête;頭;머리;Głowa;Cabeça;Kafa;Голова;头部;頭部;Huvud;Testa;Cap;Глава;Глава;Pää;Hoved;Hode;Höfuð;Galva;Fej;Hlava;Cabeça;सिर;หัว;Glava;თავი;Κεφάλι;Глава;Galva;Wajo
exsl_slot_equipment_chest_label;Chest;Грудь;Brust;Pecho;Hrudník;Borst;Torse;チェスト;가슴;Klatka;Peito;Göğüs;Груди;上装;上裝;Bröst;Petto;Piept;Гръд;Гради;Rinta;Bryst;Bryst;Brjóst;Krūtinė;Mellkas;Hrudník;Peito;छाती;หน้าอก;Prsa;მკერდი;Στήθος;Груди;Krūtis;Klatka
exsl_slot_equipment_legs_label;Legs;Ноги;Beine;Piernas;Nohavice;Benen;Jambes;脚;다리;Nogi;Pernas;Bacaklar;Ноги;下装;下裝;Ben;Gambe;Picioare;Крака;Нозе;Jalat;Ben;Ben;Fætur;Kojos;Lábak;Nohy;Pernas;पैर;ขา;Noge;ფეხები;Πόδια;Ноге;Kājas;Noga
exsl_slot_equipment_shoulders_label;Back;Спина;Rücken;Espalda;Záda;Terug;Dos;戻る;뒤로;Peleryna;Voltar;Geri;Спина;背部;背部;Rygg;Schiena;Spate;Гръб;Грб;Selkä;Ryg;Rygg;Bak;Nugara;Hát;Chrbát;Costas;पीठ;หลัง;Leđa;ზურგი;Πλάτη;Спина;Mugura;Back
exsl_slot_equipment_utility_label;Utility;Аксессуар;Gebrauch;Artículo;Nástroje;Artikel;Article;アイテム;아이템;Akcesoria;Item;Öğe;Допоміжні предмети;饰品;飾品;Verktyg;Accessorio;Accesorii;Аксесоар;Аксесоар;Lisävaruste;Tilbehør;Tilbehør;Aukabúnaður;Priedai;Kiegészítők;Nástroje;Acessório;उपयोगिता;อุปกรณ์;Dodatak;დამხმარე;Εξάρτημα;Аксесоар;Piederumi;Utility
exsl_slot_equipment;Equipment slot;Слот для экипировки;Ausrüstungsplatz;Ranura para equipo;Slot pro vybavení;Apparatuursleuf;Emplacement d'équipement;装備スロット;장비 슬롯;Slot wyposażenia;Slot de equipamento;Ekipman yuvası;Слот для екіпіровки;装备栏;裝備欄;Utrustningsplats;Slot di equipaggiamento;Slot echipament;Слот за екипировка;Слот за опрема;Varustepaikka;Udstyrsslot;Utstyrsspor;Búnaðarpláss;Įrangos vieta;Felszerelési hely;Slot vybavenia;Slot de equipamento;उपकरण स्लॉट;ช่องอุปกรณ์;Slot opreme;აღჭურვილობის სლოტი;Θέση εξοπλισμού;Слот за опрему;Aprīkojuma vieta;Equipment slot
exsl_slot_equipment_desc;Equipable items;Надеваемые предметы снаряжения;Ausrüstbare Ausrüstungsgegenstände;Artículos de equipo equipables;Převlékatelné předměty;Uitrustbare uitrustingsitems;Articles d'équipement équipables;装備可能な装備アイテム;장착 가능한 장비 아이템;Przedmioty do założenia;Itens de equipamento equipáveis;Donanılabilir Ekipman Öğeleri;Екіпіровані предмети;放置可穿戴的装备;放置可穿戴的裝備;Utrustningsbara föremål;Oggetti equipaggiabili;Obiecte echipabile;Екипируеми предмети;Опрема за носење;Varusteet;Udstyr der kan udstyres;Utstyr som kan brukes;Búnaður sem má nota;Įrangos daiktai;Felszerelhető tárgyak;Predmety na vybavenie;Itens equipáveis;सुसज्ज वस्तुएँ;ไอเท็มที่สวมใส่ได้;Predmeti za opremu;აღჭურვადი ნივთები;Εξοπλίσιμα αντικείμενα;Опрема;Aprīkojami priekšmeti;Equipable items
exsl_slot_ammo;Ammo slot;Слот для боеприпасов;Munitionsplatz;Ranura de munición;Slot pro munici;Munitie slot;Emplacement pour munitions;弾薬スロット;탄약 슬롯;Slot amunicji;Slot para munição;Cephane yuvası;Слот для стріл;弹药栏;彈藥欄;Ammunitionsplats;Slot munizioni;Slot muniție;Слот за боеприпаси;Слот за муниција;Ammuspaikka;Ammunitionsslot;Ammospor;Skotfærisslott;Šaudmenų vieta;Lőszerhely;Slot munície;Slot de munições;गोला-बारूद स्लॉट;ช่องกระสุน;Slot streljiva;ვაზნების სლოტი;Θέση πυρομαχικών;Слот за муницију;Munīcijas vieta;pakwaal
exsl_slot_ammo_label;Ammo;Боезапас;Pfeile;Flechas;Munice;Pijlen;Flèches;弾薬;탄약;Amunicja;Setas;Oklar;Боєзапас;弹药;彈藥;Ammunition;Munizioni;Muniție;Патрони;Муниција;Ammukset;Ammunition;Ammunisjon;Skotfæri;Šaudmenys;Lőszer;Munícia;Munição;बारूद;กระสุน;Streljivo;ვაზნები;Πυρομ.;Муниција;Munīcija;pakwaal
exsl_slot_ammo_desc;Ammo, bombs and fishing baits;Стрелы, болты, бомбы и рыболовные наживки;Munition, Bomben und Angelköder;Munición, bombas y cebo de pesca;Střelivo, bomby a rybářské návnady;Munitie, bommen en visaas;Munitions, bombes et appâts de pêche;弾薬、爆弾、釣り餌;탄약, 폭탄 및 낚시 미끼;Amunicja, bomby i przynęty wędkarskie;Munição, bombas e isca de pesca;Cephane, bombalar ve balık yemi;Стріли, бомби та рибацькі наживки;弹药、炸弹或鱼饵;彈藥、炸彈或魚餌;Ammunition, bomber och beten;Munizioni, bombe e esche;Muniții, bombe și momeli;Боеприпаси, бомби и стръв;Муниција, бомби и мамки;Ammukset, pommit ja syötit;Ammunition, bomber og agn;Ammunisjon, bomber og agn;Skotfæri, sprengjur og beita;Šaudmenys, bombos ir masalai;Lőszerek, bombák és csalik;Munícia, bomby a návnady;Munições, bombas e iscos;गोला-बारूद, बम और चारा;กระสุน, ระเบิด และเหยื่อ;Streljivo, bombe i mamci;ვაზნები, ბომბები და სატყუარა;Πυρομαχικά, βόμβες και δολώματα;Муниција, бомбе и мамци;Munīcija, bumbas un ēsmas;pakwaal bolts bombs
exsl_slot_quick;Quick slot;Быстрый слот;Schnellslot;Ranura rápida;Rychlý slot;Snel slot;Emplacement rapide;クイックスロット;퀵 슬롯;Szybki slot;Slot rápido;Hızlı slot;Швидкий слот;快捷栏;快捷欄;Snabbslot;Slot veloce;Slot rapid;Бърз слот;Брз слот;Pikapaikka;Hurtigslot;Hurtigspor;Hraðslott;Greitas lizdas;Gyorshely;Rýchly slot;Slot rápido;त्वरित स्लॉट;ช่องด่วน;Brzi slot;სწრაფი სლოტი;Γρήγορη θέση;Брз слот;Ātrs slots;Quick slot
exsl_slot_quick_label;Quick;Быстрый;Schnell;Rápido;Rychlý;Snel;Rapide;クイック;빠른;Szybki;Rápido;Hızlı;Швидкий;快捷;快捷;Snabb;Veloce;Rapid;Бърз;Брз;Nopea;Hurtig;Rask;Hraður;Greitas;Gyors;Rýchly;Rápido;तेज़;เร็ว;Brz;სწრაფი;Γρήγορος;Брз;Ātrs;Quick
exsl_slot_quick_desc;Any items;Любые предметы;Alle Elemente;Cualquier elemento;Jakékoli položky;Alle items;Tous les éléments;任意のアイテム;모든 항목;Dowolne przedmioty;Qualquer item;Herhangi bir öğe;Будь-які предмети;放置任何物品;放置任何物品;Vilka som helst;Qualsiasi oggetto;Orice obiecte;Всякакви предмети;Секој предмет;Mitkä tahansa;Enhver genstand;Enhver gjenstand;Hvaða hlutir sem er;Bet kokie daiktai;Bármilyen tárgy;Akékoľvek predmety;Qualquer item;कोई भी वस्तु;สิ่งของใด ๆ;Bilo koji predmet;ნებისმიერი ნივთი;Οποιαδήποτε αντικείμενα;Било који предмети;Jebkuri priekšmeti;Any items
exsl_slot_misc;Misc slot;Разное;Verschiedenes;Varios;Různé;Diversen;Divers;その他;기타;Slot na różne przedmioty;Diversos;Çeşitli;Різне;杂物栏;雜物欄;Blandat;Slot vari;Slot diverse;Разни;Разно;Sekalainen;Diverse slot;Diverse spor;Ýmislegt;Įvairūs;Vegyes;Rôzne;Slot diversos;विविध स्लॉट;ช่องเบ็ดเตล็ด;Razni slot;სხვადასხვა სლოტი;Διάφορα;Разно;Dažādi;Misc slot
exsl_slot_misc_label;Misc;Разное;Verschiedenes;Varios;Různé;Diversen;Divers;その他;기타;Różne;Diversos;Çeşitli;Різне;杂物;雜物;Blandat;Varie;Diverse;Разни;Разно;Sekalainen;Diverse;Diverse;Ýmislegt;Įvairūs;Vegyes;Rôzne;Diversos;विविध;เบ็ดเตล็ด;Razno;სხვადასხვა;Διάφορα;Разно;Dažādi;Misc
exsl_slot_misc_desc;Quest items, keys, coins, trophies and fish;Предметы заданий, ключи, монеты, трофеи и рыба;Questgegenstände, Schlüssel, Münzen, Trophäen und Fische;Objetos de misión, llaves, monedas, trofeos y peces;Předměty úkolů, klíče, mince, trofeje a ryby;Questitems, sleutels, munten, trofeeën en vissen;Objets de quête, clés, pièces, trophées et poissons;クエスト アイテム、キー、コイン、トロフィー、魚;퀘스트 아이템, 열쇠, 동전, 트로피 및 물고기;Przedmioty zadania, klucze, monety, trofea i ryby;Itens de missão, chaves, moedas, troféus e peixes;Görev eşyaları, anahtarlar, madeni paralar, kupalar ve balıklar;Квестові предмети, ключі, монети, трофеї та риба;放置任务物品、钥匙、金币、战利品或鱼;放置任務物品、鑰匙、金幣、戰利品或魚;Uppdragsföremål, nycklar, mynt, troféer och fisk;Oggetti missione, chiavi, monete, trofei e pesci;Obiecte de misiune, chei, monede, trofee și pești;Предмети за мисии, ключове, монети, трофеи и риба;Предмети за мисии, клучеви, монети, трофеи и риба;Tehtäväesineet, avaimet, kolikot, trofeet ja kalat;Questgenstande, nøgler, mønter, trofæer og fisk;Oppdragsobjekter, nøkler, mynter, trofeer og fisk;Verkefnahlutir, lyklar, mynt, verðlaunagripir og fiskar;Užduočių daiktai, raktai, monetos, trofėjai ir žuvys;Küldetés tárgyak, kulcsok, érmék, trófeák és halak;Predmety úloh, kľúče, mince, trofeje a ryby;Itens de missão, chaves, moedas, troféus e peixes;मिशन आइटम, चाबियाँ, सिक्के, ट्रॉफी और मछली;ไอเท็มเควส, กุญแจ, เหรียญ, ถ้วยรางวัล และปลา;Predmeti zadatka, ključevi, novčići, trofeji i ribe;მისიის ნივთები, გასაღებები, მონეტები, ტრაფეები და თევზები;Αντικείμενα αποστολής, κλειδιά, νομίσματα, τρόπαια και ψάρια;Предмети задатка, кључеви, новчићи, трофеји и рибе;Uzdevumu priekšmeti, atslēgas, monētas, trofejas un zivis;Quest items keys coins trophies and fish
exsl_slot_food;Food and mead slot;Слот для еды и медовух;Essensplatz;Espacio para comida y aguamiel;Slot pro jídlo a medovinu;Etenslot;Emplacement de nourriture et hydromel;フードと蜜酒スロット;음식 및 미드 슬롯;Slot na jedzenie i miód pitny;Slot para alimentação e hidromel;Yiyecek ve bal şarabı yuvası;Слот для їжі та медовух;食物与蜂蜜酒栏;食物與蜂蜜酒欄;Mat och mjödslot;Slot cibo e idromele;Slot mâncare și mied;Слот за храна и медовина;Слот за храна и мед;Ruoka ja sima;Mad og mjødslot;Mat og mjødspor;Matur og mjöðslot;Maisto ir midaus vieta;Étel és mézhely;Slot jedlo a medovina;Slot de comida e hidromel;मधु मद्य स्लॉट;ช่องอาหารและเหล้าน้ำผึ้ง;Slot hrane i medovine;საკვებისა და თაფლის ღვინის სლოტი;Θέση τροφής και υδρόμελο;Слот за храну и медовину;Pārtikas un hidromelis slots;Olito & Meads
exsl_slot_food_label;Food;Еда;Essen;Comida;Jídlo;Eten;Nourriture;食品;음식;Jedzenie;Comida;Yiyecek;Їжа;食物;食物;Mat;Cibo;Mâncare;Храна;Храна;Ruoka;Mad;Mat;Matur;Maistas;Étel;Jedlo;Comida;भोजन;อาหาร;Hrana;საკვები;Φαγητό;Храна;Ēdiens;Olito
exsl_slot_food_desc;Consumable food;Съедобная пища и напитки;Essfertiges Essen;Comida lista para comer;Jídlo určené ke spotřebě;Klaar om te eten;Nourriture prête à manger;すぐに食べられる食べ物;음식을 먹을 준비가 되었습니다.;Jedzenie gotowe do spożycia;Pronto para comer;Yemek yemeye hazır;Готова до вживання їжа;放置可消耗的食物;放置可消耗的食物;Ätbar mat;Cibo consumabile;Mâncare consumabilă;Консумативна храна;Консумативна храна;Syötävä ruoka ja sima;Spiselig mad;Spiselig mat;Neytanleg matur;Valgomas maistas;Fogyasztható étel;Konzumovateľné jedlo;Comida consumível;मधु मद्य और खाद्य पदार्थ;อาหารและเหล้าน้ำผึ้งที่บริโภคได้;Potrošna hrana;სამომხმარებლო საკვები და თაფლის ღვინო;Καταναλώσιμη τροφή και υδρόμελο;Потрошна храна;Patērējama pārtika un hidromelis;Consumable food & Meads
exsl_slot_equipment_trinket_label;Trinket;Оберег;Schmuck;Abalorio;Ozdoba;Snuisterij;Bibelot;装飾品;장신구;Błyskotka;Amuleto;Süs;Оберіг;护符;飾品;Klenod;Gingillo;Amuletă;Амулет;Амулет;Hely;Smykke;Smykke;Hnoss;Papuošalas;Csecsebecse;Ozdoba;Adereço;ताबीज;เครื่องราง;Ukrasi;ამულეტი;Κειμήλιο;Амулет;Rotas;Amulet
exsl_slot_lightened;Lightened slot;Облегченный слот;Leichter Slot;Ranura aligerada;Odlehčený slot;Verlichte slot;Emplacement allégé;軽量スロット;경량 슬롯;Odciążony slot;Slot aliviado;Hafifletilmiş slot;Полегшений слот;轻量槽;輕量槽;Lättad slot;Slot alleggerito;Slot ușurat;Олекотен слот;Олеснет слот;Kevennetty paikka;Let slot;Lett spor;Létt slott;Palengvinta vieta;Könnyített hely;Odľahčený slot;Slot aliviado;हल्का स्लॉट;ช่องเบา;Olakšan slot;შემსუბუქებული სლოტი;Ελαφρύς χώρος;Олакшан слот;Vieglināts slots;Lightened slot
exsl_slot_lightened_desc;Item weight reduced by $1;Вес предмета снижен на $1;Gewicht des Gegenstands um $1 reduziert;Peso del objeto reducido en $1;Hmotnost předměta snížena o $1;Gewicht van item verminderd met $1;Poids de l'objet réduit de $1;アイテムの重量が$1減少;아이템 무게가 $1 감소합니다;Waga przedmiotu zmniejszona o $1;Peso do item reduzido em $1;Öğe ağırlığı $1 azaltıldı;Вага предмета зменшена на $1;物品重量减少 $1;物品重量減少 $1;Föremålets vikt minskad med $1;Peso ridotto di $1;Greutatea obiectului redusă cu $1;Теглото намалено с $1;Тежина намалена за $1;Esineen paino vähennetty $1;Genstandens vægt reduceret med $1;Vekten redusert med $1;Þyngd minnkuð um $1;Daikto svoris sumažintas $1;Tárgy súlya csökkentve $1;Hmotnosť znížená o $1;Peso reduzido em $1;वजन $1 कम किया गया;น้ำหนักลดลง $1;Težina smanjena za $1;წონა შემცირდა $1;Βάρος μειώθηκε κατά $1;Тежина смањена за $1;Svars samazināts par $1;Item weight reduced by $1
